Name, Team, Over Percentage, Under Percentage, Games, Over Hits, Under Hits, Line
Deebo Samuel, SF,75.0%, 25.0%, 12, 9, 3, 39.5
Myles Gaskin, MIA,38.46%, 61.54%, 13, 5, 8, 14.5
Brock Wright, DET,14.29%, 85.71%, 7, 1, 6, 20.5
Adam Trautman, NO,50.0%, 50.0%, 10, 5, 5, 27.5
Courtland Sutton, DEN,61.54%, 38.46%, 13, 8, 5, 28.5
Michael Carter, NYJ,60.0%, 40.0%, 10, 6, 4, 18.5
Mark Andrews, BAL,69.23%, 30.77%, 13, 9, 4, 52.5
Chase Claypool, PIT,54.55%, 45.45%, 11, 6, 5, 55.5
Albert Wilson, MIA,16.67%, 83.33%, 12, 2, 10, 25.5
Jack Doyle, IND,35.71%, 64.29%, 14, 5, 9, 23.5
Brandon Bolden, NE,35.71%, 64.29%, 14, 5, 9, 31.5
Mecole Hardman, KC,64.29%, 35.71%, 14, 9, 5, 20.5
Tommy Tremble, CAR,30.77%, 69.23%, 13, 4, 9, 14.5
Jauan Jennings, SF,25.0%, 75.0%, 12, 3, 9, 15.5
DeVante Parker, MIA,66.67%, 33.33%, 6, 4, 2, 55.5
Jakobi Meyers, NE,35.71%, 64.29%, 14, 5, 9, 44.5
Sterling Shepard, NYG,50.0%, 50.0%, 6, 3, 3, 42.5
Chuba Hubbard, CAR,38.46%, 61.54%, 13, 5, 8, 10.5
Nelson Agholor, NE,50.0%, 50.0%, 14, 7, 7, 27.5
T.Y. Hilton, IND,14.29%, 85.71%, 7, 1, 6, 28.5
Jalen Guyton, LAC,28.57%, 71.43%, 14, 4, 10, 25.5
Darius Slayton, NYG,50.0%, 50.0%, 10, 5, 5, 22.5
Jamison Crowder, NYJ,40.0%, 60.0%, 10, 4, 6, 40.5
Brandon Aiyuk, SF,30.77%, 69.23%, 13, 4, 9, 55.5
James Robinson, JAX,58.33%, 41.67%, 12, 7, 5, 15.5
Ezekiel Elliott, DAL,46.15%, 53.85%, 13, 6, 7, 21.5
Devin Singletary, BUF,23.08%, 76.92%, 13, 3, 10, 18.5
Byron Pringle, KC,42.86%, 57.14%, 14, 6, 8, 25.5
Zach Pascal, IND,50.0%, 50.0%, 14, 7, 7, 23.5
Rhamondre Stevenson, NE,20.0%, 80.0%, 10, 2, 8, 15.5
Cole Beasley, BUF,46.15%, 53.85%, 13, 6, 7, 45.5
Gabriel Davis, BUF,23.08%, 76.92%, 13, 3, 10, 40.5
Rashod Bateman, BAL,50.0%, 50.0%, 8, 4, 4, 36.5
Mike Gesicki, MIA,61.54%, 38.46%, 13, 8, 5, 44.5
Travis Kelce, KC,50.0%, 50.0%, 14, 7, 7, 70.5
Diontae Johnson, PIT,58.33%, 41.67%, 12, 7, 5, 81.5
James O'Shaughnessy, JAX,40.0%, 60.0%, 5, 2, 3, 25.5
Mike Williams, LAC,57.14%, 42.86%, 14, 8, 6, 54.5
Austin Ekeler, LAC,57.14%, 42.86%, 14, 8, 6, 35.5
Robby Anderson, CAR,38.46%, 61.54%, 13, 5, 8, 30.5
Clyde Edwards-Helaire, KC,33.33%, 66.67%, 9, 3, 6, 13.5
Jared Cook, LAC,64.29%, 35.71%, 14, 9, 5, 25.5
Nyheim Hines, IND,42.86%, 57.14%, 14, 6, 8, 17.5
Nick Westbrook-Ikhine, TEN,16.67%, 83.33%, 12, 2, 10, 34.5
Russell Gage, ATL,50.0%, 50.0%, 10, 5, 5, 57.5
Christian Kirk, ARI,53.85%, 46.15%, 13, 7, 6, 54.5
Amari Cooper, DAL,63.64%, 36.36%, 11, 7, 4, 50.5
Rondale Moore, ARI,30.77%, 69.23%, 13, 4, 9, 30.5
Braxton Berrios, NYJ,30.77%, 69.23%, 13, 4, 9, 34.5
Darrel Williams, KC,57.14%, 42.86%, 14, 8, 6, 15.5
Keenan Allen, LAC,53.85%, 46.15%, 13, 7, 6, 77.5
C.J. Uzomah, CIN,38.46%, 61.54%, 13, 5, 8, 29.5
Jerry Jeudy, DEN,42.86%, 57.14%, 7, 3, 4, 55.5
Rob Gronkowski, TB,75.0%, 25.0%, 8, 6, 2, 53.5
Geoff Swaim, TEN,41.67%, 58.33%, 12, 5, 7, 20.5
Tim Patrick, DEN,38.46%, 61.54%, 13, 5, 8, 40.5
Marquez Valdes-Scantling, GB,37.5%, 62.5%, 8, 3, 5, 43.5
Tyreek Hill, KC,35.71%, 64.29%, 14, 5, 9, 77.5
Chris Godwin, TB,38.46%, 61.54%, 13, 5, 8, 75.5
Kenny Golladay, NYG,60.0%, 40.0%, 10, 6, 4, 34.5
Stefon Diggs, BUF,46.15%, 53.85%, 13, 6, 7, 70.5
Dawson Knox, BUF,45.45%, 54.55%, 11, 5, 6, 40.5
Kyle Pitts, ATL,61.54%, 38.46%, 13, 8, 5, 46.5
Josiah Deguara, GB,33.33%, 66.67%, 12, 4, 8, 15.5
Marquise Brown, BAL,75.0%, 25.0%, 12, 9, 3, 50.5
Mike Evans, TB,69.23%, 30.77%, 13, 9, 4, 59.5
Kendrick Bourne, NE,64.29%, 35.71%, 14, 9, 5, 35.5
Pat Freiermuth, PIT,53.85%, 46.15%, 13, 7, 6, 30.5
Tee Higgins, CIN,45.45%, 54.55%, 11, 5, 6, 65.5
Jonathan Taylor, IND,28.57%, 71.43%, 14, 4, 10, 20.5
Julio Jones, TEN,28.57%, 71.43%, 7, 2, 5, 52.5
CeeDee Lamb, DAL,58.33%, 41.67%, 12, 7, 5, 66.5
Cordarrelle Patterson, ATL,50.0%, 50.0%, 12, 6, 6, 30.5
Noah Fant, DEN,50.0%, 50.0%, 12, 6, 6, 34.5
Davante Adams, GB,50.0%, 50.0%, 12, 6, 6, 94.5
Brandin Cooks, HOU,46.15%, 53.85%, 13, 6, 7, 59.5
Dalton Schultz, DAL,69.23%, 30.77%, 13, 9, 4, 35.5
Brandon Zylstra, CAR,50.0%, 50.0%, 10, 5, 5, 19.5
Saquon Barkley, NYG,44.44%, 55.56%, 9, 4, 5, 23.5
Alvin Kamara, NO,33.33%, 66.67%, 9, 3, 6, 30.5
Demarcus Robinson, KC,42.86%, 57.14%, 14, 6, 8, 15.5
Nico Collins, HOU,40.0%, 60.0%, 10, 4, 6, 28.5
Laquon Treadwell, JAX,37.5%, 62.5%, 8, 3, 5, 38.5
Evan Engram, NYG,45.45%, 54.55%, 11, 5, 6, 28.5
George Kittle, SF,50.0%, 50.0%, 10, 5, 5, 71.5
Tyler Boyd, CIN,46.15%, 53.85%, 13, 6, 7, 45.5
Joe Mixon, CIN,30.77%, 69.23%, 13, 4, 9, 11.5
Tre'Quan Smith, NO,33.33%, 66.67%, 9, 3, 6, 35.5
A.J. Green, ARI,50.0%, 50.0%, 12, 6, 6, 52.5
Laquon Treadwell, JAX,37.5%, 62.5%, 8, 3, 5, 35.5
Kenny Golladay, NYG,40.0%, 60.0%, 10, 4, 6, 40.5
Marquez Callaway, NO,46.15%, 53.85%, 13, 6, 7, 31.5
Geoff Swaim, TEN,41.67%, 58.33%, 12, 5, 7, 17.5
Nico Collins, HOU,40.0%, 60.0%, 10, 4, 6, 30.5
Chris Conley, HOU,46.15%, 53.85%, 13, 6, 7, 16.5
Marquez Callaway, NO,30.77%, 69.23%, 13, 4, 9, 35.5
Kendrick Bourne, NE,57.14%, 42.86%, 14, 8, 6, 40.5
Hunter Henry, NE,57.14%, 42.86%, 14, 8, 6, 25.5
Najee Harris, PIT,53.85%, 46.15%, 13, 7, 6, 25.5
Michael Gallup, DAL,33.33%, 66.67%, 6, 2, 4, 50.5
George Kittle, SF,50.0%, 50.0%, 10, 5, 5, 69.5
Tyler Boyd, CIN,46.15%, 53.85%, 13, 6, 7, 42.5
Alvin Kamara, NO,33.33%, 66.67%, 9, 3, 6, 30.5
Darrel Williams, KC,42.86%, 57.14%, 14, 6, 8, 18.5
Jonnu Smith, NE,38.46%, 61.54%, 13, 5, 8, 17.5
Chris Conley, HOU,46.15%, 53.85%, 13, 6, 7, 15.5
Noah Fant, DEN,66.67%, 33.33%, 12, 8, 4, 30.5
Tre'Quan Smith, NO,33.33%, 66.67%, 9, 3, 6, 33.5
Najee Harris, PIT,53.85%, 46.15%, 13, 7, 6, 24.5
Ja'Marr Chase, CIN,53.85%, 46.15%, 13, 7, 6, 64.5
Marquez Valdes-Scantling, GB,50.0%, 50.0%, 8, 4, 4, 35.5
Jonathan Taylor, IND,35.71%, 64.29%, 14, 5, 9, 18.5
Julio Jones, TEN,28.57%, 71.43%, 7, 2, 5, 55.5
Saquon Barkley, NYG,44.44%, 55.56%, 9, 4, 5, 20.5
Dalton Schultz, DAL,69.23%, 30.77%, 13, 9, 4, 38.5
Michael Gallup, DAL,33.33%, 66.67%, 6, 2, 4, 50.5
Cordarrelle Patterson, ATL,50.0%, 50.0%, 12, 6, 6, 27.5
Joe Mixon, CIN,30.77%, 69.23%, 13, 4, 9, 10.5
Ja'Marr Chase, CIN,46.15%, 53.85%, 13, 6, 7, 65.5
Demarcus Robinson, KC,42.86%, 57.14%, 14, 6, 8, 14.5
Hunter Henry, NE,57.14%, 42.86%, 14, 8, 6, 26.5
Brandin Cooks, HOU,46.15%, 53.85%, 13, 6, 7, 61.5
Jonnu Smith, NE,38.46%, 61.54%, 13, 5, 8, 17.5
Evan Engram, NYG,54.55%, 45.45%, 11, 6, 5, 25.5
Braxton Berrios, NYJ,30.77%, 69.23%, 13, 4, 9, 30.5
Davante Adams, GB,50.0%, 50.0%, 12, 6, 6, 90.5
Josiah Deguara, GB,25.0%, 75.0%, 12, 3, 9, 17.5
Chris Godwin, TB,38.46%, 61.54%, 13, 5, 8, 80.5
Pat Freiermuth, PIT,46.15%, 53.85%, 13, 6, 7, 31.5
Kyle Pitts, ATL,61.54%, 38.46%, 13, 8, 5, 44.5
C.J. Uzomah, CIN,38.46%, 61.54%, 13, 5, 8, 25.5
Clyde Edwards-Helaire, KC,66.67%, 33.33%, 9, 6, 3, 10.5
CeeDee Lamb, DAL,66.67%, 33.33%, 12, 8, 4, 65.5
Mike Gesicki, MIA,38.46%, 61.54%, 13, 5, 8, 50.5
Rob Gronkowski, TB,62.5%, 37.5%, 8, 5, 3, 57.5
Christian Kirk, ARI,46.15%, 53.85%, 13, 6, 7, 60.5
Tee Higgins, CIN,45.45%, 54.55%, 11, 5, 6, 64.5
Tyreek Hill, KC,35.71%, 64.29%, 14, 5, 9, 80.5
Rondale Moore, ARI,30.77%, 69.23%, 13, 4, 9, 34.5
A.J. Green, ARI,50.0%, 50.0%, 12, 6, 6, 52.5
Stefon Diggs, BUF,46.15%, 53.85%, 13, 6, 7, 73.5
Brandon Zylstra, CAR,50.0%, 50.0%, 10, 5, 5, 19.5
Marquise Brown, BAL,75.0%, 25.0%, 12, 9, 3, 50.5
Mike Evans, TB,69.23%, 30.77%, 13, 9, 4, 60.5
Travis Kelce, KC,57.14%, 42.86%, 14, 8, 6, 67.5
Tim Patrick, DEN,53.85%, 46.15%, 13, 7, 6, 37.5
Jerry Jeudy, DEN,42.86%, 57.14%, 7, 3, 4, 52.5
Keenan Allen, LAC,61.54%, 38.46%, 13, 8, 5, 75.5
Rhamondre Stevenson, NE,30.0%, 70.0%, 10, 3, 7, 12.5
James O'Shaughnessy, JAX,40.0%, 60.0%, 5, 2, 3, 27.5
Dawson Knox, BUF,45.45%, 54.55%, 11, 5, 6, 38.5
Austin Ekeler, LAC,57.14%, 42.86%, 14, 8, 6, 33.5
Diontae Johnson, PIT,58.33%, 41.67%, 12, 7, 5, 78.5
Gabriel Davis, BUF,15.38%, 84.62%, 13, 2, 11, 43.5
Byron Pringle, KC,35.71%, 64.29%, 14, 5, 9, 28.5
Amari Cooper, DAL,45.45%, 54.55%, 11, 5, 6, 51.5
Russell Gage, ATL,50.0%, 50.0%, 10, 5, 5, 54.5
Brandon Bolden, NE,42.86%, 57.14%, 14, 6, 8, 25.5
Nick Westbrook-Ikhine, TEN,16.67%, 83.33%, 12, 2, 10, 35.5
James Robinson, JAX,41.67%, 58.33%, 12, 5, 7, 18.5
Chuba Hubbard, CAR,46.15%, 53.85%, 13, 6, 7, 8.5
Jack Doyle, IND,42.86%, 57.14%, 14, 6, 8, 19.5
Nyheim Hines, IND,57.14%, 42.86%, 14, 8, 6, 15.5
Cole Beasley, BUF,38.46%, 61.54%, 13, 5, 8, 46.5
Robby Anderson, CAR,38.46%, 61.54%, 13, 5, 8, 31.5
Zach Pascal, IND,50.0%, 50.0%, 14, 7, 7, 25.5
Jared Cook, LAC,57.14%, 42.86%, 14, 8, 6, 27.5
Mike Williams, LAC,57.14%, 42.86%, 14, 8, 6, 55.5
Rashod Bateman, BAL,50.0%, 50.0%, 8, 4, 4, 35.5
Nelson Agholor, NE,50.0%, 50.0%, 14, 7, 7, 30.5
Jakobi Meyers, NE,35.71%, 64.29%, 14, 5, 9, 48.5
T.Y. Hilton, IND,14.29%, 85.71%, 7, 1, 6, 30.5
Jauan Jennings, SF,16.67%, 83.33%, 12, 2, 10, 19.5
Jalen Guyton, LAC,35.71%, 64.29%, 14, 5, 9, 20.5
Sterling Shepard, NYG,50.0%, 50.0%, 6, 3, 3, 45.5
Mecole Hardman, KC,64.29%, 35.71%, 14, 9, 5, 21.5
Jamison Crowder, NYJ,40.0%, 60.0%, 10, 4, 6, 42.5
Darius Slayton, NYG,50.0%, 50.0%, 10, 5, 5, 22.5
Chase Claypool, PIT,54.55%, 45.45%, 11, 6, 5, 52.5
Ezekiel Elliott, DAL,53.85%, 46.15%, 13, 7, 6, 20.5
Devin Singletary, BUF,23.08%, 76.92%, 13, 3, 10, 18.5
DeVante Parker, MIA,66.67%, 33.33%, 6, 4, 2, 59.5
Albert Wilson, MIA,8.33%, 91.67%, 12, 1, 11, 29.5
Brandon Aiyuk, SF,38.46%, 61.54%, 13, 5, 8, 52.5
Michael Carter, NYJ,60.0%, 40.0%, 10, 6, 4, 19.5
Tommy Tremble, CAR,30.77%, 69.23%, 13, 4, 9, 14.5
Mark Andrews, BAL,69.23%, 30.77%, 13, 9, 4, 50.5
Brock Wright, DET,14.29%, 85.71%, 7, 1, 6, 20.5
Courtland Sutton, DEN,53.85%, 46.15%, 13, 7, 6, 30.5
Myles Gaskin, MIA,38.46%, 61.54%, 13, 5, 8, 16.5
Adam Trautman, NO,50.0%, 50.0%, 10, 5, 5, 27.5
Deebo Samuel, SF,75.0%, 25.0%, 12, 9, 3, 42.5

